804	9
1	1
2	2
3	2
805	10
806	7
4	1
5	8
6	3
7	5
8	3
957	4
958	1
9	9
10	1
11	11
807	1
12	4
13	3
14	9
15	11
808	10
16	5
1000	6
17	5
18	4
19	8
20	8
21	1
809	7
22	9
810	6
23	9
811	3
24	3
812	6
959	8
25	4
26	8
813	3
27	4
28	8
814	4
29	4
30	4
31	6
960	1
32	8
815	1
33	1
34	10
35	5
36	3
37	8
38	8
39	2
40	1
41	2
816	4
42	5
43	6
44	4
45	2
46	3
47	8
48	2
961	4
49	1
50	9
817	8
818	11
819	8
820	4
51	8
821	3
52	4
53	3
54	1
55	9
56	2
57	8
58	8
59	9
60	3
822	6
61	4
62	11
63	9
64	7
65	11
66	10
67	2
68	5
69	8
823	1
70	6
71	2
72	8
73	2
74	5
75	5
76	9
77	2
78	2
79	3
962	6
963	6
80	5
81	10
992	5
824	1
82	9
83	2
84	7
85	2
86	7
87	1
88	6
825	3
826	8
89	5
90	5
91	2
92	1
827	1
93	10
94	5
95	10
828	2
96	1
97	2
98	8
829	6
99	2
830	1
100	4
101	8
102	9
831	4
103	3
104	6
832	9
105	1
833	9
834	3
106	2
107	2
108	10
109	1
110	2
111	2
112	8
113	6
835	9
114	6
115	9
116	5
117	10
118	2
119	6
120	10
121	8
836	7
122	2
123	10
124	1
837	1
125	11
126	3
127	9
838	11
128	2
129	4
130	9
131	8
132	2
133	2
134	3
135	10
839	3
136	9
137	9
138	5
139	9
140	3
141	2
142	3
143	2
144	8
145	3
146	8
147	8
148	9
149	9
150	5
151	5
152	2
153	10
154	2
155	4
156	8
157	1
158	2
159	11
160	8
161	2
162	2
840	6
163	5
164	6
165	1
841	7
964	3
166	8
842	5
167	4
843	3
844	6
845	9
168	6
169	3
170	3
171	5
172	2
173	8
846	1
847	2
848	2
174	3
175	7
176	6
177	8
178	3
179	3
849	9
850	5
965	3
180	5
181	8
182	2
183	7
184	1
185	10
186	6
187	5
851	1
966	11
188	8
189	10
190	3
191	5
192	8
193	2
194	2
852	3
195	2
196	2
967	1
197	1
198	9
968	3
199	11
200	9
853	4
201	1
202	8
203	5
204	9
205	5
206	3
207	10
208	8
209	3
210	5
211	1
212	8
213	9
854	9
214	8
215	9
216	5
217	5
218	4
219	3
220	9
221	2
855	10
856	7
222	5
223	2
224	4
225	4
969	11
226	5
227	7
228	9
229	2
230	10
231	10
232	8
233	3
997	5
234	8
235	2
236	3
237	7
238	8
239	7
857	6
240	10
241	3
242	2
243	7
244	8
245	11
858	3
859	4
246	2
247	9
248	3
