804	866	1
805	442	1
4	257	1
5	826	1
6	140	1
6	29	1
7	209	1
8	374	1
957	851	1
958	1	1
807	165	1
13	740	1
14	247	1
15	562	1
808	763	1
17	354	1
18	441	1
18	314	1
20	775	1
21	109	1
809	699	1
810	978	1
810	963	1
24	179	1
812	302	1
26	984	1
26	581	1
813	266	1
813	126	1
28	89	1
28	669	1
28	163	1
28	869	1
814	371	1
30	782	1
32	281	1
815	851	1
33	40	1
33	774	1
34	376	1
35	354	1
35	730	1
36	816	1
37	238	1
37	674	1
38	254	1
38	238	1
38	469	1
39	362	1
39	705	1
41	77	1
41	83	1
41	182	1
816	565	1
43	378	1
45	77	1
45	391	1
46	825	1
47	284	1
48	700	1
48	749	1
48	706	1
961	605	1
49	791	1
817	118	1
817	826	1
817	188	1
817	674	1
819	584	1
820	456	1
51	214	1
51	660	1
821	357	1
53	858	1
53	514	1
56	253	1
59	261	1
59	545	1
59	689	1
60	126	1
68	888	1
823	271	1
72	585	1
72	770	1
73	706	1
75	913	1
75	624	1
78	920	1
78	381	1
80	593	1
824	387	1
82	787	1
82	936	1
83	477	1
83	193	1
83	470	1
86	659	1
87	577	1
88	721	1
826	251	1
91	523	1
91	679	1
91	350	1
827	33	1
93	579	1
93	880	1
95	634	1
828	680	1
828	700	1
97	522	1
98	5	1
98	160	1
829	993	1
100	592	1
101	726	1
102	592	1
104	419	1
832	677	1
105	40	1
105	399	1
833	466	1
833	22	1
106	634	1
107	221	1
107	455	1
108	692	1
109	489	1
109	756	1
112	101	1
835	9	1
835	22	1
114	844	1
115	713	1
116	90	1
117	841	1
118	172	1
118	344	1
119	713	1
119	568	1
122	182	1
123	778	1
124	537	1
124	184	1
124	888	1
127	394	1
127	703	1
127	845	1
128	953	1
129	312	1
130	540	1
130	787	1
131	267	1
131	393	1
132	453	1
133	896	1
134	24	1
138	443	1
138	216	1
140	556	1
143	892	1
144	254	1
144	392	1
144	455	1
146	748	1
147	436	1
148	589	1
149	130	1
152	526	1
152	792	1
152	319	1
158	560	1
160	316	1
160	941	1
160	696	1
161	599	1
165	414	1
165	734	1
964	53	1
167	329	1
167	403	1
844	812	1
845	920	1
845	804	1
168	164	1
169	142	1
170	460	1
170	219	1
170	977	1
170	338	1
171	988	1
172	797	1
846	34	1
847	494	1
848	606	1
177	669	1
